	du/dx0{power: 1.0}_u	C_u	u{power: 1.0} * du/dx1{power: 1.0}_u	d^2u/dx0^2{power: 1.0}_u	u{power: 1.0}_u	du/dx0{power: 1.0} * du/dx1{power: 1.0}_u	du/dx1{power: 1.0}_u	du/dx0{power: 1.0} * u{power: 1.0}_u	d^2u/dx0^2{power: 1.0} * du/dx1{power: 1.0}_u	d^2u/dx0^2{power: 1.0} * du/dx0{power: 1.0}_u	d^2u/dx0^2{power: 1.0} * u{power: 1.0}_u
0	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
2	-1.0	6.308228075246837e-14	-0.999999999999998	0.0	0.0	-4.807051971321761e-16	0.0	0.0	0.0	0.0	0.0
3	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
4	-1.0	-2.64581782224901e-13	-1.0000000000000018	0.0	0.0	0.0	-2.402340644083915e-12	0.0	0.0	0.0	0.0
5	-1.0	6.308228075246837e-14	-0.999999999999998	0.0	0.0	-4.807051971321761e-16	0.0	0.0	0.0	0.0	0.0
6	-0.001530382148844466	-0.04542701599339862	0.0	0.0	4.7498220813139446e-05	0.0	-1.0	0.0	0.0	0.0	0.0
7	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
8	-0.9999999999999983	-2.6475758516454843e-13	-1.0	0.0	0.0	0.0	-2.4146329882743904e-12	0.0	0.0	0.0	0.0
9	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	-1.0	1.5217478730022822e-14	-0.9999999999999998	0.0	0.0	0.0	0.0	0.0	-5.295167433952265e-18	0.0	0.0
11	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
12	-1.0	-2.605857926797026e-13	-1.0000000000000182	0.0	0.0	0.0	0.0	-1.878096688159851e-17	0.0	0.0	0.0
13	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	-0.9999999999999946	-1.2344075536414566e-13	-1.0	0.0	-1.9712023557835973e-16	0.0	0.0	0.0	0.0	0.0	0.0
16	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
17	-1.0000000000000027	6.314560148639597e-14	-1.0	2.3658859604814674e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	-0.001530382148844466	-0.04542701599339862	0.0	0.0	4.7498220813139446e-05	0.0	-1.0	0.0	0.0	0.0	0.0
19	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
21	0.0	-4.4840260526897155e-14	0.0	-0.4999999999999997	-3.6791701156121526e-17	-1.0	0.0	0.0	0.0	0.0	0.0
22	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
25	-1.0	-2.1217483716518482e-13	-1.0000000000000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	-0.9999999999999944	-2.1208313978178326e-13	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
29	-1.0	-1.2354923790184383e-13	-1.0000000000000056	0.0	-1.011740228272973e-16	0.0	0.0	0.0	0.0	0.0	0.0
30	-0.9999999999999946	-1.2344075536414566e-13	-1.0	0.0	-1.9712023557835973e-16	0.0	0.0	0.0	0.0	0.0	0.0
31	-0.9999999999999982	-2.6269199489281636e-13	-1.0	0.0	0.0	0.0	-2.3967567264306433e-12	0.0	0.0	0.0	0.0
32	-1.0	-2.605857926797026e-13	-1.0000000000000182	0.0	0.0	0.0	0.0	-1.878096688159851e-17	0.0	0.0	0.0
